PID	TIMESTAMP
1	06-01-2017
2	06-01-2017
3	06-01-2017
4	06-01-2017
5	06-01-2017
6	06-01-2017
7	06-01-2017
8	06-01-2017
9	06-01-2017
10	06-01-2017
11	06-01-2017
12	06-01-2017
13	06-01-2017
14	06-01-2017
15	06-02-2017
16	06-02-2017
17	06-02-2017
18	06-02-2017
19	06-02-2017
20	06-02-2017
21	06-09-2017
22	06-09-2017
23	06-09-2017
24	06-09-2017
25	06-09-2017
26	06-16-2017
27	06-30-2017
28	06-30-2017
29	06-30-2017
30	06-30-2017
31	06-30-2017
32	06-30-2017
33	06-30-2017
34	06-30-2017
35	06-30-2017
36	06-30-2017
37	06-30-2017
38	07-07-2017
39	07-07-2017
40	07-07-2017
41	07-07-2017
42	07-07-2017
43	07-07-2017
44	07-07-2017
45	07-07-2017
46	07-07-2017
47	07-07-2017
48	07-07-2017
49	07-07-2017
50	07-07-2017
51	07-14-2017
52	07-14-2017
53	07-14-2017
54	07-14-2017
55	07-14-2017
56	07-14-2017
57	07-14-2017
58	07-14-2017
59	07-14-2017
60	07-14-2017
61	07-21-2017
62	07-22-2017
63	07-23-2017
64	07-23-2017
65	07-23-2017
66	07-23-2017
67	07-23-2017
68	07-23-2017
69	07-23-2017
70	07-23-2017
71	07-30-2017
72	07-30-2017
73	07-30-2017
74	07-30-2017
75	07-30-2017
76	07-30-2017
77	07-30-2017
78	08-01-2017
79	08-01-2017
80	08-01-2017
81	08-01-2017
82	08-01-2017
83	08-01-2017
